new_cases_per_million_nl,new_deaths_per_million_nl,new_cases_per_million_pl,new_deaths_per_million_pl,NL_retail_and_recreation,NL_grocery_and_pharmacy,NL_parks,NL_transit,NL_workplaces,NL_residential,PL_retail_and_recreation,PL_grocery_and_pharmacy,PL_parks,PL_transit,PL_workplaces,PL_residential
7.971,0.0,11.491,0.1,-1.0,-3.0,175.0,-39.0,-42.0,6.0,1.0,6.0,143.0,-18.0,-26.0,1.0
16.056,0.057,14.652,0.226,-15.0,-8.0,113.0,-30.0,-2.0,2.0,-5.0,1.0,193.0,-2.0,1.0,-6.0
9.508,1.082,11.115,0.176,4.0,-3.0,153.0,-21.0,8.0,-1.0,15.0,20.0,176.0,4.0,10.0,-7.0
14.063,0.228,12.595,0.151,16.0,5.0,231.0,-43.0,-49.0,9.0,2.0,4.0,189.0,-20.0,-29.0,3.0
19.529,0.114,12.846,0.301,12.0,-2.0,227.0,-39.0,-47.0,7.0,9.0,7.0,183.0,-17.0,-29.0,2.0
19.87,0.0,15.43,0.376,9.0,1.0,233.0,-40.0,-49.0,7.0,9.0,8.0,185.0,-16.0,-29.0,2.0
24.653,0.0,16.484,0.176,-9.0,-9.0,286.0,-37.0,-48.0,5.0,3.0,6.0,146.0,-17.0,-29.0,1.0
20.838,0.057,16.509,0.125,-18.0,-10.0,187.0,-25.0,-4.0,0.0,-6.0,0.0,202.0,1.0,-2.0,-6.0
22.204,0.114,13.749,0.251,-2.0,-5.0,172.0,-20.0,7.0,-1.0,20.0,25.0,204.0,8.0,8.0,-7.0
27.841,0.0,14.427,0.025,10.0,-2.0,182.0,-45.0,-52.0,9.0,5.0,4.0,115.0,-21.0,-33.0,4.0
24.254,0.057,17.061,0.151,21.0,6.0,279.0,-40.0,-50.0,8.0,2.0,3.0,133.0,-23.0,-33.0,6.0
34.559,0.171,16.057,0.452,10.0,-1.0,286.0,-38.0,-48.0,6.0,10.0,6.0,192.0,-17.0,-31.0,3.0
30.688,0.0,18.215,0.452,0.0,-1.0,251.0,-42.0,-51.0,8.0,7.0,7.0,221.0,-16.0,-31.0,2.0
27.67,0.057,20.297,0.326,-12.0,-7.0,262.0,-41.0,-49.0,6.0,0.0,5.0,181.0,-19.0,-31.0,0.0
32.908,0.228,21.151,0.326,-27.0,-12.0,217.0,-28.0,-7.0,1.0,-8.0,1.0,211.0,-3.0,-3.0,-6.0
36.552,0.0,15.656,0.176,-14.0,-6.0,196.0,-23.0,4.0,-1.0,13.0,19.0,187.0,3.0,6.0,-7.0
13.095,0.0,15.53,0.05,5.0,1.0,254.0,-44.0,-50.0,8.0,10.0,9.0,181.0,-18.0,-32.0,1.0
69.403,0.114,13.824,0.301,4.0,2.0,282.0,-45.0,-49.0,9.0,9.0,8.0,208.0,-18.0,-31.0,2.0
35.299,0.114,17.939,0.226,-1.0,-6.0,263.0,-42.0,-46.0,7.0,12.0,8.0,214.0,-16.0,-31.0,1.0
37.064,0.228,20.348,0.351,-6.0,-5.0,173.0,-47.0,-48.0,10.0,11.0,14.0,214.0,-15.0,-31.0,1.0
37.634,0.114,20.875,0.351,-7.0,-7.0,172.0,-41.0,-45.0,7.0,10.0,32.0,183.0,-17.0,-40.0,1.0
30.631,0.114,19.344,0.276,-15.0,-9.0,149.0,-26.0,-2.0,1.0,-41.0,-74.0,257.0,-16.0,-35.0,-2.0
